ks	c0	d0	page	sort	col	ts	fs	ri	vd	uld	t0	ca	tt	da	sa0	sa1	st	ex	gr	wk	va	sk	ce	at	xft	sf	lang0	m0	mnd	ch	nk	nko	nt	nosf	nst
!	0		1			a		0		12288		100~500	17				1	*1	0	1	0	a	160100	1677722	0	*10	9		2		;	'		9	15
&	0	100100	1	desc	ab	a		1	0	0		100~500		0	0			13~12	65	257	0	a		1677722	0		0		0	8	+	+		9	16
*	0					288667	0			12288		*100	17					*1			17	a	160100	0	1			100101			+	=		9	16
'	100100	0			a					0	150101		1	0			65	*1		0		100900	160100				9	100101	2	8	;	'	a	9	16
/	0				a	a		0				100~500	0	15	0		1	*1	0		0	a			1		1		65		$	*		7	16
[		100100	0	a		288667		0	0		150101	*100	0	15		-1	0	*1	1	257	0	100900	a	1			0		0		$	\		7	16
*		100100		desc	ab	a				12288				15		-1			65	1		a	160100	1677722	1025	11~15	1					&		7	16
\	0	100100	0	a	ab	a	0					100~500	17	15		0	0	13~12	1	1		100900	a	1677722		a	0	100101	0	0	&	{	a	8	15
	0	0	0	a		a	0	0		12288			0				65		65		0	a	160100		1		0		0	16385	!	+		8	17
?			1	a				1	1	12288				1	-1	0	65	13~12		1		100900	a			*10	0		65	0	[		100101	9	16
(		100100	0			a		0		12288		100~500	1	1	0		1		1			100900		1	0	a			0	0	[	;		7	16
)	0			a	a			0			150101	*100		0	0	0	1	3~5	0	0	1	100900	160100	0	0		9		0		{	;		7	15
"	0	100100	1	a		288667	0				150101		0			-1	0	3~5	65			100900		0		a	0		0	0	_	\		8	15
;	100100	0	0	a		a	0		1			100~500	1	15	-1		0	13~12		1				1677722	1		1		2	16385	_	(	a	9	15
%			0		a	a	1		0	0		a			-1					0	0			1677722		11~15	9					-	100101	9	17
]		100100			a	288667	1		0		150101	a		1		0	0	2~2	65	0	17				1	*10		100101	65	16385			100101	8	15
\						a						*100				-1	1			0		100900	a	0			9		2		'			9	17
!			0			a			1		150101		0	1	-1	0	0		0	257	1	a	a	1			1			0	+	)	a	7	16
"	100100				ab	a		0	0	0			17	15			1	3~5	0	0			a				9			0		#		7	16
/				a		a				12288		*100	17	1	0		1				17			1		11~15	1			8	?	'		7	17
@	100100	0	0	desc			0	1				*100		15				*1	65			100900	a	0	1						&	=	100101	8	15
_			1	a		288667		0		12288	150101	a	0	1		0	1	13~12				a	a	0	0		9				{			7	17
^			0	a	a	a	0	1			150101	*100	0		0					1	1	100900	a	1677722	0	a	1		2		[	[	100101	8	15
)	100100						0					100~500	1	0		-1	65	2~2	1			100900	160100	0		a			65	8	;	#	a	8	16
;	0					a				12288		a	1	1	0		0	*1		0	17	100900			0	a			2	16385	&	!	100101	7	15
java	100100		0		a	a	1	1	1	12288		100~500	17			0			65			100900	160100	1	0	11~15				0	)	(		7	16
?			0					0	1			100~500	17	0	-1	0		3~5	1	0		a		1		a	9			0	_	%		9	15
{		100100			ab			0			150101	a		1		0			65	1	1	100900	160100		1025		0			16385	&	$		7	15
=			0	a	a	288667	0	1	0	12288	150101			1		0	65		65			a	160100		1				65		*	@		9	15
(				desc		a	1		1	0							65	13~12		1	1	100900	160100			*10			2	16385	}		a	9	15
_	0		1			a	1		1				0					3~5	1					0					0	16385		;	100101	7	16
+		0			ab		1	1	0			100~500	17	0		0	65	2~2	0							11~15		100101		8	)	^		9	17
&	100100	0			ab	a		0		0		100~500	17	15	0		0	3~5	1	257	1	100900		1677722	1025	*10	1		65	16385	&	_	100101	8	15
$	0	100100		a		a	0	1		12288	150101		1				0	*1	65	1		a	a		1025		0		2	8	[	_		9	16
>	0	0		a		288667		1							0	-1	65	13~12			1		160100				9		2	16385	$	@	a	8	15
#	0	0				288667	0	0	0	0			0	1		0		13~12				100900	a			a	9	100101			)	$		8	17
)	0		0	a	a			0		0		100~500	0	15		-1	0	13~12	1	1			160100	1	1	11~15						&		7	16
_		0	0	desc	ab	288667	0		0	12288	150101			1				2~2	0		17		160100	1	1	a	0		0	0		=	a	9	17
:			0	a	a	288667				12288	150101			0				13~12	65			a		1	0			100101		16385	~	!	100101	8	16
>			1	desc	ab	a	1			12288		100~500	0	1	0	-1			65	257		100900	160100	0	1025				0	16385	&	~	a	8	15
	100100					288667		0			150101	100~500	1		0	0	65	13~12			1	a	160100			11~15		100101			@	~	100101	9	16
java			0	a	a		0		1	12288				15				13~12		0			a	1677722		*10	9		65			~		8	17
[		0	1					1	1				1		-1	-1	1	*1	1	0	17					11~15	9		2	8	~	{		8	17
)	100100			desc		a	0	0		0	150101	100~500	0	15	0	0	0		65	257	1	100900	160100	0		*10				16385	~	'		7	15
	0		0				0		0	12288	150101	a	0		-1	0	1	*1	1					1	1	a				16385		~		7	15
^	0	100100				288667			1	12288		a		1	0	-1	65	2~2				100900	a		1				65		~	]		9	16
_	0				ab		1	1		0		100~500	0	15			1	2~2			0	a	160100	1677722	1025		0		0		~	_		9	15
\		100100		desc	a			1		0			17	15			0	2~2	0	1	17	a				11~15			2	0	(	~	100101	8	17
					a	288667		1	0			100~500	17		0		0	3~5		1	1	100900	a			a	1		2		~	%	a	7	16
	100100	0		desc	ab	288667	0		1			*100	17				1	3~5	65		1	100900		1677722	0	*10	1			8	{	~		9	16
/				a		288667			0							-1	65					a		1				100101		8	+	~	100101	9	15
@		100100	0			a		1		12288		*100		1			1		0			100900		0		11~15	9		0	8	~	&		8	15
!		0	0	a	ab	a		0	0		150101		1	15	0	-1	0				0	a	160100	1677722	1		0			8	'	~		8	15
}			1			288667				12288	150101	a	0	1		-1	1	2~2	65	0	17	100900	160100	0	1025		0	100101		0	~	$	100101	9	15
.	100100		1		ab	288667						100~500	0		0			13~12			1	a	a	1		a			0	8	~	-	a	9	16
$		0		desc	a	288667		1	1		150101	100~500	17	15				*1	65	257		100900	160100	1			0				\	~	a	9	16
-			0	a				1			150101	*100		0		-1		13~12	65	1		a	160100			*10	0		65		=	~	a	7	15
/	0	0	0		ab	a	0	0	1			a	17			-1	65	*1		0		a	160100	1677722	1025	*10					~		100101	7	16
~	100100			desc		288667			1	12288	150101	a	0	15	-1		0	3~5		1	17			1	0			100101	65		{			8	15
~	0	100100			ab	a	1	0		0				1		-1		13~12	65		1	a	a	1677722	1025					16385	@	\	a	9	16
~		0	0					1	0			*100			0	0	1	2~2	1			100900	160100			11~15	1		0	8	(	*		7	17
~			1	a	a	288667	0			0		100~500	17				65			0	0		a		1	a	9	100101		0		!	100101	7	16
~	0			desc	ab	288667		1		0			1	0	-1	-1	65	*1	0	257		100900	160100	0		*10	0		2		?	-		9	17
.	100100					a		0	0	12288	150101		0		-1	-1			65	0	1		160100		1025	11~15	0	100101		0	[	~		8	16
(	0			a	ab			0	0				1	15						257		a	160100	1677722		*10		100101	2	0	}	~	a	9	16
~		100100	0						1	0		a	0	15	-1		0			257		100900		1	1025		9	100101	0	8		}		7	17
=	0	0		desc	a	288667	1			12288		100~500	1	15	0	0	1	3~5				100900	a	1			0				~	#		9	16
@	0	0		a	a	a	0	1		0	150101	a			0	0						a	a		0	*10	9			0	_	~	100101	9	17
java				desc	a	a				12288	150101	100~500				-1	0		65	1		100900	a	0		a	9			8	~	;	a	8	17
%		100100	1	a	a				0	12288				1	0	0		2~2			1	100900	160100	0			0	100101	65	0	$	~		9	15
;	100100	0	1						1		150101		0	1				13~12	65	257		100900	160100	0		*10	9	100101	2	8	~	+	100101	9	16
}			0	a		a			0		150101	a			0	-1	65	3~5	0		1		a		1025		9	100101	0	8	^	~	100101	9	16
)		100100			a		1		0	12288	150101	*100				-1	65	2~2	65	1		100900			0	11~15	0		2	16385	]	~	a	7	17
\				desc		288667	1	1		0	150101	100~500		0			65	*1		1	0		a	1		*10	9		0		~	=		9	15
~		100100		desc	a		1	1		12288		a	0	0	0	-1	1	13~12	0	1	17				1	a	0	100101	65		\	+	a	9	16
<	100100		1	desc		288667			0	12288	150101		1			0	1				1	100900	160100	0	1	a	1		65		-	~		8	16
{	0	100100		a		288667						*100		15			1	*1	1	0	1	100900	160100	1	0	11~15	0		65		~	}	a	8	15
=	0		0			a	0	0		0			17	15	-1		1	13~12	1		17	100900			0			100101	0	16385	!	~	a	7	16
+	0	100100	1				0	0	1	12288		*100	17		0		65		1		17	a			1025							~	a	9	15
~	0	0	0	desc	a	288667	0		1	0	150101	100~500	1	15			65	*1	1	257	0	a			0	a	0	100101	2	0	#	)	a	9	17
			1	a		a		1	0	12288		100~500			0	0	1	13~12		0		a	a		1025				0		~	台積電		7	15
*	100100						1	1	1	0				1		-1	0	*1		0			160100			a	9		65	8	~	(	100101	9	15
&	0	0	1			a			0			*100			-1	0	65	*1	0	0	1		a	1677722	1025	11~15	9		0	8	~			9	15
~	0				a	a	1	1	0			100~500			-1		0	13~12	1	257		a			1	11~15		100101		0	%	(		9	16
{		0	0	desc	a	288667				12288		a					65	2~2	0	0		a			0		9	100101	0	16385	%	~	a	7	15
		0			a				0	0		*100			-1	-1	1				17	a		0	1	11~15	0		0	16385	~	)	100101	7	17
+	0	0	1	a		a	0			12288	150101				0	-1	1			0	1		160100	0	1		0	100101		8	~	@		9	16
$	100100				a		0	0	0	0						0		2~2				a	160100	1				100101	65	16385	~	*		9	17
~		0					1		0			*100					1				1		a		1	11~15					$	$		7	16
"			1	a	a	a	0		1	0				15		0	1	3~5	65		0	100900		1677722		11~15	0	100101	65	0	計	~		7	17
?		100100				288667				0		100~500	17				1			257				1		a	0	100101		8	;	~	100101	8	15
&	0	100100							0			100~500	17		0			*1	1	0	17	a			1025	11~15			0		)	~		8	16
~		100100	1	desc	a	288667			0				17	0			1	3~5	65						1				2	16385	+	台積電		8	16
~				a	a	a	1		0	0			1	1	0		0	3~5		257	1	a	160100				9		0	16385	;			9	17
~	100100		0		ab	288667	0			0		100~500	0	0	-1		65		1		0		a				1				'	@	100101	9	15
#	100100		1		ab	288667	1	1	1	0							65	3~5	65	0			a	1	0	a				16385	~		100101	7	17
>	0		1	desc	ab		1			12288			1	0		0	0	3~5	1	0			a	1						8	~	\		8	17
(	0	0	0	desc					0	12288		a		15				*1	1	1		100900	a		0	*10	0	100101	0		~	^	100101	9	17
?			0	a	ab	288667	0	0	1		150101	100~500	17	15	-1	-1	0	3~5	0				a	1677722	1		1				~	[		7	17
~	0		1				0			12288	150101		17	15	-1	0	0	2~2	65	0		a	160100		1	a		100101	2	8	}	;	100101	9	16
~				desc	ab	a		1		0			17				1				0		a		1	11~15	1		0	0	_	^	a	8	17
~	100100			a		a		1		0	150101	*100		1			65		1			100900	160100	0	0	a			2	16385	&			9	15
~	0	0			ab	288667		1		0	150101		0	1		-1	0	*1		1	1	a		0		a	9	100101	0	8	^	%	a	9	17
~		100100			ab				1			100~500	0		-1			3~5				a	160100		0			100101	65	16385	[	#		8	16
~	0	0				288667		0		12288		*100	0			0	65	*1	0	1	0	100900	160100		1					16385	]	%	100101	8	17
'		0	1					1	0				1		-1	0	1	3~5	65	257	1			0	1	a	0	100101	2	8	~	*		7	16
#	0				ab	a	1			0	150101				-1		1		0	257		100900	160100					100101				~	a	8	15
<			1			288667	1	1	1	0	150101	a		0	-1	0		3~5			1	a	160100	0	0						~	}		7	17
~	100100	100100								12288			1	1	-1	0	1	2~2	65	257	1	a	a	1677722	1025	a		100101	2	16385	-	_	100101	8	17
*					a	288667	1	1	0	0		100~500	0				65		0		0		160100	1	0	*10			2	0	*	~	100101	9	16
^	0	100100		desc	a	a					150101	100~500	1		0		0	3~5	1		0	100900				11~15				16385	{	~		7	17
					ab	288667		0				a			-1		1				1		a	0	0				0		~	!	100101	9	15
:			0		a	288667			1				17	15		0		2~2	0	1	0	a		1677722			1	100101	2		計	~	100101	8	15
[			1		a		1					*100	17				65		65		17	a			0	*10	0			8	$	~		8	15
	0	0				288667		1	0						0	-1	1	13~12	65	1		a	a	1		*10	0	100101	65	8	\	~	a	8	16
~		100100	0		ab	288667		0	1								0	3~5		0	17		a		0	11~15	0		2		=	]	a	8	16
_		100100		a		288667		1			150101	*100		0			65		65	0		100900		0			0	100101	65		@	~	a	9	15
~			0	desc	ab		0	0	0			a	1			-1		13~12		1	0	a	a	1	1	*10	9	100101	0			'	a	9	15
]						a	1	1	0					0			65	*1		257	0	a	a	1	1025	a		100101		16385	]	~	a	8	15
~		0	1			a	0			12288		a	17	1	-1					1	0	a					9	100101	65		!	{		8	16
;	0	100100		desc	ab	a	1		0	0	150101		1			-1	65		1	1	0		160100					100101			-	~		9	16
!			0			288667			0	0		a	1			0	65	3~5	1	1	1	a	a		1025		0		0	16385	~	-		9	15
~	0	0	1	desc		a		1	1	12288	150101	100~500	17	0			1	3~5		257		a	160100	0	1	a			0	0	)	[		7	17
~		100100	0	desc	ab			0	1	12288		100~500	1	15	0				65	0	17		160100			*10			65	0	*	&		7	16
"	100100	0		desc	ab	a	1			12288	150101	100~500	1	15	-1	-1	65	3~5	65			a	160100		0	11~15			0		~	[	a	7	17
%	0	100100	1	desc	a		1	1		0	150101		1				65	*1		1	17		160100		0	11~15	1	100101		16385	~	(	100101	9	15
-		100100	0	a	a	a	0	0	1			100~500	0	0	-1	-1		3~5		0		a	160100		1025	11~15	0		2	16385	~	=	100101	7	15
:			1	a		a				12288		*100		0	0		1		65	0		a	a		0		0		2	0	#	~	100101	7	16
]		0	0			288667	1		1			100~500	0					3~5	65	257		100900	a		0		9		65		~	%	100101	7	16
~			1			288667		1		0							65	2~2	65	1			160100	0		11~15	1				)	=		8	15
'				a		a			1	12288	150101			1				2~2	65	0	1	100900	a	0	1	11~15			2	0	!	~		8	16
